Serial #s,Lo Off Gate Voltage,Hi On Gate Voltage,Hi Off Gate Voltage,Lo On Gate Voltage,Digital +5V,Hi Pos Vunreg,Hi Neg Vunreg,Hi +5V,Hi -5V,Lo Pos Vunreg,Lo Neg Vunreg,Lo +5V,Lo -5V,Hi  Freq,Hi Duty,Lo Freq,Lo Duty,TempFreq,Temp Duty,DCL Freq,DCL Duty, Result, DateTime
ZJ24010900010330RH6,80,99.99,80,99.99,100,100,80,99.99,80,99.99,80,100,80,1220.76,99.81,1220.78,99.81,1220.78,99.81,31545.74,49.65,FAIL,6/29/2024 10:56:50 AM
ZJ24010900010330RH6,5.66,19.73,5.64,19.79,5.32,22.44,8.4,5.3,5.44,22.4,8.43,5.29,5.42,10005,49.62,10005,49.62,31533.31,55.58,31533.31,48.76,PASS,6/29/2024 10:57:34 AM
ZJ24010900010578RH6,5.65,19.69,5.62,19.77,0.61,22.45,8.42,5.3,5.43,22.41,8.42,5.31,5.42,10005,49.66,10006.25,49.67,31496.06,55.59,31496.06,49.37,PASS,6/29/2024 10:57:55 AM
ZJ24010900010578RH6,5.65,19.69,5.63,19.78,5.34,22.45,8.41,5.3,5.44,22.41,8.43,5.31,5.43,10002.5,49.61,10002.5,49.62,31508.47,55.57,31508.47,50.81,PASS,6/29/2024 10:58:54 AM
ZJ24010900010576RH6,5.66,19.7,5.61,19.81,5.33,22.45,8.4,5.3,5.43,22.41,8.43,5.32,5.44,10003.75,49.59,10000,49.64,31545.74,55.6,31545.74,50.12,PASS,6/29/2024 10:59:31 AM
ZJ24010900010558RH6,5.65,19.69,5.62,19.75,5.31,22.45,8.4,5.31,5.44,22.42,8.42,5.31,5.41,10006.25,49.61,10003.75,49.62,31533.31,55.58,31533.31,51.12,PASS,6/29/2024 11:00:10 AM
ZJ24010900010328RH6,5.65,19.74,5.61,19.8,5.31,22.45,8.41,5.32,5.43,22.41,8.43,5.31,5.43,10002.5,49.62,10006.25,49.63,31583.1,55.63,31583.1,49.27,PASS,6/29/2024 11:01:05 AM
ZJ24010900010559RH6,5.65,19.73,5.62,19.76,5.32,22.46,8.4,5.31,5.43,22.41,8.42,5.32,5.42,10005,49.65,10005,49.61,31520.88,55.59,31520.88,50.71,PASS,6/29/2024 11:01:44 AM
ZJ24010900010265RH6,5.64,19.69,5.62,19.78,5.31,22.44,8.41,5.3,5.43,22.4,8.42,5.31,5.41,10002.5,49.65,10003.75,49.56,31620.55,55.57,31620.55,49.13,PASS,6/29/2024 11:02:24 AM
ZJ24010900010276RH6,5.65,19.69,5.64,19.76,5.31,22.44,8.4,5.28,5.44,22.41,8.43,5.3,5.42,10006.25,49.66,10002.5,49.55,31570.64,55.56,31570.64,49.72,PASS,6/29/2024 11:02:58 AM
ZJ24010900010560RH6,5.66,0.57,0.46,19.79,5.3,22.45,8.41,5.3,5.43,22.41,8.43,5.31,5.43,4950.5,78.21,10005,49.6,31545.74,55.56,31545.74,50.2,FAIL,6/29/2024 11:03:32 AM
ZJ24010900010560RH6,5.66,19.71,5.63,19.79,5.3,22.45,8.41,5.31,5.44,22.41,8.42,5.31,5.43,10002.5,49.65,10006.25,49.64,31545.74,55.6,31545.74,50.04,PASS,6/29/2024 11:04:04 AM
ZJ24010900010267RH6,5.65,19.68,5.63,19.77,5.3,22.44,8.4,5.3,5.43,22.4,8.42,5.31,5.42,10002.5,49.57,10005,49.62,31508.47,55.97,31508.47,49.74,PASS,6/29/2024 11:04:48 AM
