Serial #s,Lo Off Gate Voltage,Hi On Gate Voltage,Hi Off Gate Voltage,Lo On Gate Voltage,Digital +5V,Hi Pos Vunreg,Hi Neg Vunreg,Hi +5V,Hi -5V,Lo Pos Vunreg,Lo Neg Vunreg,Lo +5V,Lo -5V,Hi  Freq,Hi Duty,Lo Freq,Lo Duty,TempFreq,Temp Duty,DCL Freq,DCL Duty, Result, DateTime
ZJ24030750010430RH6,5.66,19.74,5.63,19.71,5.35,22.43,8.41,5.32,5.44,22.4,8.43,5.31,5.46,9998.75,49.57,10001.25,49.56,31508.47,55.57,31508.47,50.81,PASS,7/12/2024 9:30:51 AM
ZJ24030750010435RH6,5.64,19.66,5.62,19.76,5.33,22.43,8.41,5.3,5.45,22.4,8.42,5.32,5.42,10002.5,49.62,10005,49.61,31595.58,55.53,31608.06,50.45,PASS,7/12/2024 9:31:23 AM
ZJ24030750010431RH6,5.65,19.71,5.63,19.77,5.32,22.45,8.41,5.31,5.45,22.4,8.42,5.3,5.43,10003.75,49.66,10003.75,49.62,31496.06,55.59,31496.06,51.1,PASS,7/12/2024 9:32:03 AM
ZJ24030750010432RH6,5.67,19.71,5.62,19.76,5.33,22.43,8.41,5.32,5.45,22.4,8.44,5.33,5.42,10002.5,49.64,10001.25,49.62,31570.64,55.6,31570.64,50.16,PASS,7/12/2024 9:32:29 AM
ZJ24030750010427RH6,5.64,19.69,5.63,19.76,5.32,22.43,8.41,5.31,5.45,22.39,8.42,5.31,5.43,10002.5,49.66,10003.75,49.56,31483.67,55.96,31483.67,49.55,PASS,7/12/2024 9:33:17 AM
ZJ24030750010428RH6,5.69,19.7,5.63,19.77,5.33,22.42,8.41,5.31,5.45,22.36,8.42,5.3,5.42,10005,49.64,10006.25,49.61,31508.47,55.57,31508.47,50.22,PASS,7/12/2024 9:33:38 AM
ZJ24030750010429RH6,5.66,19.7,5.63,19.77,5.33,22.43,8.42,5.31,5.44,22.39,8.42,5.32,5.43,10002.5,49.62,10003.75,49.62,31533.31,55.58,31533.31,49.03,PASS,7/12/2024 9:34:08 AM
ZJ24030750010424RH6,5.64,19.74,5.64,19.74,5.3,22.43,8.41,5.32,5.46,22.37,8.42,5.31,5.41,10006.25,49.66,10005,49.61,31471.28,55.59,31471.28,49.29,PASS,7/12/2024 9:34:37 AM
ZJ24030750010425RH6,5.67,19.69,5.62,19.74,5.32,22.42,8.42,5.31,5.43,22.4,8.43,5.31,5.43,10002.5,49.59,10001.25,49.61,31471.28,55.55,31471.28,50.51,PASS,7/12/2024 9:35:01 AM
ZJ24030750010426RH6,5.69,19.68,5.65,19.76,5.32,22.43,8.42,5.31,5.44,22.4,8.43,5.31,5.44,10003.75,49.59,10003.75,49.57,31533.31,55.97,31533.31,50.53,PASS,7/12/2024 9:35:23 AM
ZJ24030750010423RH6,5.64,19.65,5.63,19.8,5.34,22.44,8.41,5.29,5.47,22.4,8.41,5.32,5.41,10006.25,49.58,10001.25,49.58,31471.28,55.55,31471.28,49.53,PASS,7/12/2024 9:35:45 AM
ZJ24030750010422RH6,5.65,19.69,5.63,19.77,5.33,22.44,8.41,5.32,5.44,22.4,8.42,5.32,5.43,10005,49.6,10006.25,49.61,31608.06,55.59,31608.06,50.22,PASS,7/12/2024 9:36:18 AM
ZJ24030750010421RH6,5.63,19.66,5.62,19.76,5.36,22.43,8.41,5.3,5.43,22.4,8.42,5.32,5.42,10005,49.57,10003.75,49.58,31533.31,55.58,31533.31,49.82,PASS,7/12/2024 9:36:37 AM
ZJ24030750010420RH6,5.67,19.72,5.62,19.78,5.34,22.44,8.41,5.32,5.45,22.39,8.42,5.32,5.42,10000,49.6,10003.75,49.61,31545.74,55.99,31545.74,49.96,PASS,7/12/2024 9:37:06 AM
ZJ24030750010419RH6,5.65,19.69,5.62,19.78,5.33,22.42,8.41,5.33,5.45,22.39,8.42,5.32,5.43,10000,49.58,10003.75,49.61,31583.1,55.59,31583.1,50.14,PASS,7/12/2024 9:37:33 AM
ZJ24030750010418RH6,5.64,19.69,5.61,19.78,5.34,22.43,8.41,5.32,5.44,22.4,8.42,5.31,5.41,10003.75,49.61,10003.75,49.68,31608.06,55.59,31608.06,50.26,PASS,7/12/2024 9:37:55 AM
ZJ24030750010417RH6,5.63,19.69,5.65,19.77,5.31,22.45,8.4,5.31,5.44,22.41,8.41,5.32,5.42,10005,49.62,10001.25,49.56,31434.18,55.56,31434.18,49.74,PASS,7/12/2024 9:38:17 AM
ZJ24030750010416RH6,5.65,19.69,5.66,19.75,5.35,22.43,8.42,5.31,5.45,22.39,8.43,5.31,5.43,10002.5,49.6,10006.25,49.62,31633.06,55.6,31633.06,50.34,PASS,7/12/2024 9:38:38 AM
ZJ24030750010380RH6,5.65,19.68,5.62,19.76,5.33,22.42,8.41,5.31,5.44,22.4,8.43,5.3,5.43,10002.5,49.65,10003.75,49.63,31483.67,55.57,31483.67,50.33,PASS,7/12/2024 9:40:28 AM
ZJ24030750010381RH6,5.65,19.71,5.62,19.77,5.33,22.43,8.42,5.31,5.44,22.39,8.42,5.31,5.42,10002.5,49.6,10005,49.59,31545.74,55.56,31545.74,50.12,PASS,7/12/2024 9:40:58 AM
ZJ24030750010376RH6,5.68,19.61,5.6,19.8,5.33,22.42,8.41,5.3,5.44,22.4,8.44,5.33,5.43,10003.75,49.61,10002.5,49.7,31520.88,55.56,31520.88,48.94,PASS,7/12/2024 9:41:17 AM
ZJ24030750010377RH6,5.65,19.65,5.62,19.78,5.32,22.42,8.41,5.32,5.46,22.39,8.42,5.31,5.41,10005,49.66,10003.75,49.61,31458.91,55.56,31458.91,48.76,PASS,7/12/2024 9:41:36 AM
ZJ24030750010379RH6,5.64,19.71,5.63,19.77,5.35,22.41,8.42,5.31,5.45,22.39,8.42,5.3,5.42,10000,49.6,10005,49.62,31520.88,55.59,31520.88,48.07,PASS,7/12/2024 9:41:58 AM
ZJ24030750010384RH6,5.7,19.71,5.63,19.78,5.31,22.43,8.42,5.31,5.46,22.39,8.43,5.32,5.43,10003.75,49.61,10003.75,49.66,31533.31,55.54,31545.74,49.17,PASS,7/12/2024 9:42:42 AM
ZJ24030750010382RH6,5.64,19.67,5.63,19.73,5.34,22.43,8.42,5.31,5.46,22.4,8.42,5.31,5.42,10003.75,49.66,10006.25,49.57,31583.1,55.59,31570.64,51.1,PASS,7/12/2024 9:43:03 AM
ZJ24030750010383RH6,5.64,19.64,5.62,19.79,5.33,22.43,8.42,5.32,5.45,22.4,8.42,5.32,5.42,10002.5,49.62,10002.5,49.62,31471.28,55.59,31471.28,49.84,PASS,7/12/2024 9:43:31 AM
ZJ24030750010390RH6,5.67,19.68,5.66,19.78,5.33,22.43,8.42,5.32,5.45,22.38,8.41,5.32,5.43,10003.75,49.57,10005,49.62,31570.64,55.96,31570.64,48.07,PASS,7/12/2024 9:43:50 AM
ZJ24030750010385RH6,5.68,19.68,5.62,19.78,5.32,22.43,8.41,5.31,5.44,22.39,8.43,5.32,5.42,10006.25,49.61,10003.75,49.57,31483.67,55.57,31471.28,50.2,PASS,7/12/2024 9:44:14 AM
ZJ24030750010386RH6,5.68,19.69,5.65,19.78,5.33,22.42,8.42,5.32,5.44,22.39,8.43,5.32,5.43,10002.5,49.61,10003.75,49.67,31533.31,55.58,31533.31,49.66,PASS,7/12/2024 9:44:35 AM
ZJ24030750010387RH6,5.64,19.72,5.65,19.74,5.32,22.43,8.41,5.32,5.45,22.37,8.42,5.31,5.41,10003.75,49.62,10003.75,49.58,31558.19,55.58,31558.19,50.73,PASS,7/12/2024 9:45:01 AM
ZJ24030750010392RH6,5.68,19.67,5.65,19.78,5.32,22.42,8.41,5.32,5.45,22.41,8.42,5.32,5.42,10005,49.66,10003.75,49.63,31421.84,55.58,31421.84,50.51,PASS,7/12/2024 9:45:21 AM
ZJ24030750010393RH6,5.65,19.69,5.61,19.79,5.36,22.45,8.41,5.31,5.44,22.4,8.41,5.31,5.42,10003.75,49.62,10003.75,49.61,31496.06,55.59,31496.06,49.45,PASS,7/12/2024 9:45:50 AM
ZJ24030750010388RH6,5.66,19.7,5.65,19.81,5.33,22.43,8.42,5.32,5.44,22.4,8.42,5.31,5.44,10002.5,49.62,10003.75,49.59,31496.06,55.59,31496.06,50.16,PASS,7/12/2024 9:46:10 AM
ZJ24030750010389RH6,5.66,19.71,5.62,19.79,5.32,22.42,8.41,5.31,5.42,22.39,8.42,5.32,5.45,10002.5,49.6,10002.5,49.61,31483.67,55.57,31483.67,50.1,PASS,7/12/2024 9:46:43 AM
ZJ24030750010394RH6,5.64,19.63,5.63,19.71,5.34,22.43,8.41,5.3,5.47,22.4,8.42,5.31,5.43,10002.5,49.59,10003.75,49.58,31458.91,55.6,31458.91,50.06,PASS,7/12/2024 9:47:15 AM
ZJ24030750010395RH6,5.62,19.68,5.63,19.71,5.33,22.43,8.41,5.32,5.45,22.38,8.42,5.29,5.38,10003.75,49.62,10005,49.55,31483.67,55.57,31483.67,49.55,PASS,7/12/2024 9:47:35 AM
ZJ24030750010396RH6,5.64,19.69,5.62,19.77,5.35,22.43,8.41,5.32,5.45,22.39,8.41,5.33,5.43,10003.75,49.61,10003.75,49.59,31583.1,55.59,31583.1,50.22,PASS,7/12/2024 9:47:56 AM
ZJ24030750010391RH6,5.64,19.68,5.63,19.74,5.32,22.43,8.41,5.31,5.45,22.36,8.4,5.32,5.43,10002.5,49.62,10002.5,49.61,31558.19,55.98,31558.19,50.34,PASS,7/12/2024 9:48:19 AM
ZJ24030750010398RH6,5.64,19.71,5.63,19.78,5.33,22.43,8.41,5.32,5.44,22.37,8.42,5.31,5.4,10003.75,49.66,10003.75,49.57,31595.58,55.57,31595.58,50.32,PASS,7/12/2024 9:48:42 AM
ZJ24030750010397RH6,5.67,19.69,5.66,19.73,5.31,22.44,8.41,5.32,5.44,22.4,8.42,5.31,5.45,10002.5,49.59,10002.5,49.59,31496.06,55.55,31483.67,48.96,PASS,7/12/2024 9:49:02 AM
ZJ24030750010402RH6,5.65,19.66,5.62,19.78,5.33,22.42,8.41,5.31,5.45,22.37,8.42,5.31,5.42,10005,49.66,10001.25,49.63,31409.5,55.56,31409.5,51.08,PASS,7/12/2024 9:49:24 AM
