Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24030130010058RH6,117.091,4.99978,4.99997,PASSED,PASSED,PASSED,PASSED,388,458,PASS,6/25/2024 7:10:03 AM
ZJ24030130010059RH6,116.878,4.9999,5.00033,PASSED,PASSED,PASSED,PASSED,380,404.8,PASS,6/25/2024 7:11:05 AM
ZJ24030130010052RH6,118.137,4.99994,5.00005,PASSED,PASSED,PASSED,PASSED,395.2,421.6,PASS,6/25/2024 7:12:16 AM
ZJ24030130010037RH6,115.852,4.99996,4.99989,PASSED,PASSED,PASSED,PASSED,384,407.2,PASS,6/25/2024 7:13:45 AM
ZJ24030130010064RH6,116.721,5.00032,5.0004,PASSED,PASSED,PASSED,PASSED,364.8,403.2,PASS,6/25/2024 7:15:00 AM
ZJ24030130010030RH6,117.995,4.99992,5.00081,PASSED,PASSED,PASSED,PASSED,311.2,400.4, --- , 5.00026,5.00023,PASSED,PASSED,PASSED,PASSED,261.2,391.2,FAIL,6/25/2024 7:17:04 AM
ZJ24030130010028RH6,115.817,5.00024,5.00035,PASSED,PASSED,PASSED,PASSED,364,325.2, --- , 5,4.99996,PASSED,PASSED,PASSED,PASSED,390.4,312.8,FAIL,6/25/2024 7:19:12 AM
ZJ24030130010054RH6,117.125,5.0003,5.00017,PASSED,PASSED,PASSED,PASSED,417.6,442,PASS,6/25/2024 7:20:42 AM
ZJ24030130010053RH6,116.529,4.99992,4.99982,PASSED,PASSED,PASSED,PASSED,404.8,408,PASS,6/25/2024 7:21:47 AM
ZJ24030130010068RH6,116.858,5.00032,5.00021,PASSED,PASSED,PASSED,PASSED,417.6,367.2,PASS,6/25/2024 7:23:12 AM
ZJ24030130010004RH6,116.282,5.00036,5.00037,PASSED,PASSED,PASSED,PASSED,354.8,427.6, --- , 4.99952,4.99942,PASSED,PASSED,PASSED,PASSED,350.4,453.6,FAIL,6/25/2024 7:25:21 AM
ZJ24030130010028RH6,116.178,5.0002,4.9998,PASSED,PASSED,PASSED,PASSED,376,336.8, --- , 4.99992,5.00012,PASSED,PASSED,PASSED,PASSED,374.8,344,FAIL,6/25/2024 7:27:35 AM
ZJ24030130010028RH6,116.855,4.99992,5.00049,PASSED,PASSED,PASSED,PASSED,357.6,341.6, --- , 4.9996,5.00007,PASSED,PASSED,PASSED,PASSED,383.2,316,FAIL,6/25/2024 7:29:55 AM
ZJ24030130010030RH6,118.031,5.00022,5.00007,PASSED,PASSED,PASSED,PASSED,269.6,414.8, --- , 5.0003,4.99972,PASSED,PASSED,PASSED,PASSED,288,417.6,FAIL,6/25/2024 7:31:58 AM
ZJ24051570010098RH6,117.22,5.00006,4.99988,PASSED,PASSED,PASSED,PASSED,393.6,259.2, --- , 5.00034,5.00003,PASSED,PASSED,PASSED,PASSED,408.8,224.8,FAIL,6/25/2024 8:18:11 AM
ZJ24051570010068RH6,115.921,5.00024,5.00025,PASSED,PASSED,PASSED,PASSED,415.2,456.8,PASS,6/25/2024 8:19:21 AM
ZJ24051570010099RH6,116.416,4.99996,4.99988,PASSED,PASSED,PASSED,PASSED,442,441.6,PASS,6/25/2024 8:20:31 AM
ZJ24051570010070RH6,116.669,4.99984,5.00033,PASSED,PASSED,PASSED,PASSED,382.4,428.8,PASS,6/25/2024 8:21:52 AM
ZJ24051570010071RH6,116.03,5,4.99963,PASSED,PASSED,FAILED,FAILED,448.8,431.2, --- , 5.0005,5.00057,PASSED,PASSED,PASSED,PASSED,426.4,404.8,PASS,6/25/2024 8:23:44 AM
ZJ24051570010097RH6,118.412,4.99982,4.99973,PASSED,PASSED,PASSED,PASSED,408,389.6,PASS,6/25/2024 8:25:22 AM
ZJ24051570010087RH6,113.855,4.99944,4.99987,PASSED,PASSED,PASSED,PASSED,421.6,446.8,PASS,6/25/2024 8:27:45 AM
ZJ24051570010117RH6,117.919,4.99972,4.99964,PASSED,PASSED,PASSED,PASSED,389.6,426,PASS,6/25/2024 8:29:03 AM
ZJ24051570010085RH6,117.825,4.99986,10430.01555,PASSED,PASSED,FAILED,FAILED,351.2,379.2, --- , 5.00008,4.99968,PASSED,PASSED,PASSED,PASSED,376.8,407.2,PASS,6/25/2024 8:32:15 AM
ZJ24051570010116RH6,114.741,5.00006,5.00069,PASSED,PASSED,PASSED,PASSED,346.4,238.8, --- , 4.99968,4.99986,PASSED,PASSED,PASSED,PASSED,381.6,204,FAIL,6/25/2024 8:34:17 AM
ZJ24051570010086RH6,119.251,5.00018,5.00035,PASSED,PASSED,PASSED,PASSED,172,396, --- , 4.99974,4.99963,PASSED,PASSED,PASSED,PASSED,204,400.8,FAIL,6/25/2024 8:36:03 AM
ZJ24051570010115RH6,114.821,4.99996,5.00027,PASSED,PASSED,PASSED,PASSED,393.6,425.6,PASS,6/25/2024 8:37:16 AM
ZJ24051570010023RH6,117.123,5.00008,4.99963,PASSED,PASSED,PASSED,PASSED,286.8,412, --- , 5.00026,4.99947,PASSED,PASSED,PASSED,PASSED,290.4,420.8,FAIL,6/25/2024 8:39:20 AM
ZJ24051570010024RH6,117.306,4.99984,4.99938,PASSED,PASSED,FAILED,FAILED,279.6,434.8, --- , 4.99968,5.00035,PASSED,PASSED,PASSED,PASSED,328.8,437.6,FAIL,6/25/2024 8:41:08 AM
ZJ24051570010024RH6,118.094,5.00038,4.99986,PASSED,PASSED,PASSED,PASSED,314.4,426.4, --- , 5.00058,5.00003,PASSED,PASSED,PASSED,PASSED,315.6,454.4,FAIL,6/25/2024 8:43:06 AM
ZJ24051570010090RH6,116.371,4.99964,5.0004,PASSED,PASSED,PASSED,PASSED,391.2,409.6,PASS,6/25/2024 8:44:17 AM
ZJ24051570010088RH6,116.39,4.99962,4.99985,PASSED,PASSED,PASSING,PASSED,338.4,390.4, --- , 4.99944,4.99957,PASSED,PASSED,PASSED,PASSED,360.8,398.8,PASS,6/25/2024 8:46:12 AM
ZJ24051570010022RH6,116.675,4.99952,5.00005,PASSED,PASSED,PASSED,PASSED,302.4,413.6, --- , 4.9998,5.00034,PASSED,PASSED,PASSED,PASSED,336.8,424,FAIL,6/25/2024 8:49:17 AM
ZJ24051570010089RH6,115.896,5.00008,4.99999,PASSED,PASSED,PASSED,PASSED,428,417.6,PASS,6/25/2024 8:50:28 AM
ZJ24051570010010RH6,116.117,5,5.00007,PASSED,PASSED,PASSED,PASSED,326.4,448, --- , 5.0002,4.99973,PASSED,PASSED,PASSED,PASSED,365.6,436.8,PASS,6/25/2024 8:52:22 AM
ZJ24051570010058RH6,115.541,4.9996,5.00014,PASSED,PASSED,PASSED,PASSED,380.4,419.6,PASS,6/25/2024 8:53:27 AM
ZJ24051570010052RH6,117.99,5.0006,5.00045,PASSED,PASSED,PASSED,PASSED,442.4,431.2,PASS,6/25/2024 8:54:43 AM
ZJ24051570010011RH6,115.905,4.99964,4.99948,PASSED,PASSED,PASSED,PASSED,428.8,410,PASS,6/25/2024 8:56:02 AM
ZJ24051570010012RH6,116.362,5.00048,5.00016,PASSED,PASSED,PASSED,PASSED,398.4,389.6,PASS,6/25/2024 9:06:20 AM
ZJ24051570010054RH6,118.016,4.99976,4.9993,PASSED,PASSED,FAILED,FAILED,416,452.4, --- , 5,4.99981,PASSED,PASSED,PASSED,PASSED,405.6,425.6,PASS,6/25/2024 9:09:35 AM
ZJ24051570010015RH6,116.669,5.0003,5.00033,PASSED,PASSED,PASSED,PASSED,347.6,423.2, --- , 4.99988,5,PASSED,PASSED,PASSED,PASSED,339.2,413.6,FAIL,6/25/2024 9:11:28 AM
ZJ24051570010018RH6,116.097,5.00028,4.99955,PASSED,PASSED,PASSED,PASSED,197.6,382.4, --- , 4.99938,5.00028,PASSED,PASSED,PASSED,PASSED,213.6,392,FAIL,6/25/2024 9:13:12 AM
ZJ24051570010017RH6,115.236,4.99992,4.99967,PASSED,PASSED,FAILED,FAILED,399.2,434.4, --- , 5.00008,5.00036,PASSED,PASSED,FAILED,FAILED,423.2,425.6,FAIL,6/25/2024 9:15:04 AM
ZJ24051570010017RH6,115.829,5.00006,4.99969,PASSED,PASSED,PASSED,PASSED,398.4,412,PASS,6/25/2024 9:16:07 AM
ZJ24051570010014RH6,116.176,4.99976,4.9998,PASSED,PASSED,PASSED,PASSED,393.6,404.8,PASS,6/25/2024 9:18:17 AM
ZJ24051570010013RH6,116.12,5.00022,5,PASSED,PASSED,PASSED,PASSED,420.8,439.6,PASS,6/25/2024 9:20:10 AM
ZJ24051570010028RH6,118.091,5,4.99985,PASSED,PASSED,PASSED,PASSED,386.4,408,PASS,6/25/2024 9:21:23 AM
ZJ24051570010029RH6,116.753,4.99974,5.00007,PASSED,PASSED,PASSED,PASSED,388,424.8,PASS,6/25/2024 9:22:31 AM
ZJ24051570010016RH6,115.911,4.99978,4.99943,PASSED,PASSED,PASSED,PASSED,397.6,400,PASS,6/25/2024 9:23:45 AM
ZJ24051570010030RH6,117.732,4.99974,4.99956,PASSED,PASSED,PASSED,PASSED,341.6,401.6, --- , 4.99972,5.00013,PASSED,PASSED,PASSED,PASSED,364.8,407.2,PASS,6/25/2024 9:25:49 AM
ZJ24051570010069RH6,117.232,4.99954,4.99933,PASSED,PASSED,PASSED,PASSED,436,452,PASS,6/25/2024 9:27:00 AM
ZJ24051570010067RH6,117.573,5.00034,5.00031,PASSED,PASSED,PASSED,PASSED,408.8,393.2,PASS,6/25/2024 9:28:23 AM
ZJ24051570010072RH6,117.97,5.00004,5.00026,PASSED,PASSED,PASSED,PASSED,380,388,PASS,6/25/2024 9:29:34 AM
ZJ24051570010034RH6,116.298,5.00008,4.99977,PASSED,PASSED,PASSED,PASSED,375.2,377.6,PASS,6/25/2024 9:31:35 AM
ZJ24051570010039RH6,118.467,4.99966,5.00019,PASSED,PASSED,PASSED,PASSED,459.2,406,PASS,6/25/2024 9:33:26 AM
ZJ24051570010037RH6,116.953,4.99988,5.00015,PASSED,PASSED,PASSED,PASSED,335.6,422.4, --- , 4.99976,5.00045,PASSED,PASSED,PASSED,PASSED,355.2,444,PASS,6/25/2024 9:35:17 AM
